geocodigo,provincia,anio,rec_prov,rec_nac,rec_total,pct_propios,la_rioja_region
AR-B,Buenos Aires,2003,5680.543,4427.5299,10108.0729,0.5619808104074913,1. Resto país
AR-C,CABA,2003,3279.58908,318.70140000000004,3598.29048,0.9114297742854824,1. Resto país
AR-K,Catamarca,2003,57.82025,504.5717,562.3919500000001,0.1028113044647954,2. NOA-Resto
AR-H,Chaco,2003,140.2377,894.0219000000001,1034.2596,0.1355923599838957,1. Resto país
AR-U,Chubut,2003,146.29833000000002,359.4761,505.77443,0.2892560820047783,1. Resto país
AR-W,Corrientes,2003,95.66852,708.4787,804.1472200000001,0.1189689121850101,1. Resto país
AR-X,Córdoba,2003,1038.69209,1623.0074,2661.69949,0.3902364237218981,1. Resto país
AR-E,Entre Ríos,2003,328.57482999999996,915.8251,1244.39993,0.2640427904877815,1. Resto país
AR-P,Formosa,2003,33.07017,665.1026999999999,698.1728699999999,0.04736673597758103,1. Resto país
AR-Y,Jujuy,2003,71.69469000000001,547.6736999999999,619.36839,0.1157545188898,2. NOA-Resto
AR-L,La Pampa,2003,146.78215999999998,371.3776,518.15976,0.28327587615062966,1. Resto país
AR-F,La Rioja,2003,35.47744,398.0258,433.50324,0.08183892697088031,3. La Rioja
AR-M,Mendoza,2003,489.18623,795.0909,1284.27713,0.38090394866721644,1. Resto país
AR-N,Misiones,2003,166.56500000000003,651.1750999999999,817.7401,0.20368941183146091,1. Resto país
AR-Q,Neuquén,2003,311.68652999999995,364.90290000000005,676.58943,0.4606730702251733,1. Resto país
AR-R,Río Negro,2003,186.79311,483.0042,669.79731,0.27888005402709065,1. Resto país
AR-A,Salta,2003,211.91541999999995,733.3231,945.2385199999999,0.22419253502280037,2. NOA-Resto
AR-J,San Juan,2003,103.32476,614.7418,718.06656,0.14389301181216405,1. Resto país
AR-D,San Luis,2003,151.94436000000002,433.0525,584.99686,0.2597353428529514,1. Resto país
AR-Z,Santa Cruz,2003,139.75564,354.468,494.22364000000005,0.28277813663466195,1. Resto país
AR-S,Santa Fe,2003,1098.3001700000002,1680.1428,2778.44297,0.39529340060559176,1. Resto país
AR-G,Santiago del Estero,2003,96.24673,761.0144,857.26113,0.11227235976510448,2. NOA-Resto
AR-V,Tierra del Fuego,2003,80.096,270.8972,350.9932,0.2281981531266133,1. Resto país
AR-T,Tucumán,2003,278.14503,885.0249,1163.16993,0.23912673705380263,2. NOA-Resto
